taxonomicName,popularityRating,commonNames
Ledum groenlandicum,,nan
Ledum latifolium,,Amerikan Biberiyesi
Ledum palustre,,"Bataklik Biberiyesi,Rosemary,Wild"
Leea aequata,,Girang
Leea angulata,,Mali-mali
Leea crispa,,nan
Leea curtisii,,Mali-mali
Leea curtissi,,nan
Leea gigantea,,"Merbati padang,Mali-mali,Jarak laut"
Leea guineensis,,nan
Leea guinensis,,nan
Leea indica,,"Tumboh daun bukit,Girang,Burulla,Gurula"
Leea macrophylla,,nan
Leea robusta,,nan
Leea rubra,,"Mali-mali,Girang"
Leersia hexandra,,nan
Lemaireocereus thurberi,,nan
Lemmaphyllum carnosum,,nan
Lemna minor,,"Fou P'Ing,Su Mercimegi,A'Das Al May,Lenteja De Agua,A'Des El Ma"
Lens culinaris,,"Lentil,Masura"
Lentinus tuberlregium,,nan
Leonotis leonurus,,nan
Leonotis leonutus,,nan
Leonotis mollis,,nan
Leonotis nepetaefolia,,nan
Leonotis nepetifolia,,"Cevadille,Molinillo,Salbadi,Gros Tete,Rumbut tambak-tambak rimba,Gros Pompon,Pompon,Grasse Mulatre"
Leonotis spp.,,nan
Leontice leontopetalum,,Taqaiq
Leontopodium alpinum,,"Lewenwurz,Leontopodio,Edelweiss"
Leonurus cardiaca,,"Aslankuyrugu,Agripalma,Motherwort"
Leonurus heterophyllus,,nan
Leonurus japonicus,,Me-Haziki
Leonurus lanatus,,Aslankuyrugu
Leonurus macranthus,,"T'Ui,Tsan Ts'Ai,nan"
Leonurus sibiricus,,"T'Ui,I Mu,Ch'Ung Wei,Yeh T'Ien Ma,Tebing agu,Mehaziki,Ginjean"
Leopoldia comosa,,nan
Lepechinia meyeni,,nan
Lepechinia sp,,Matico
Lepechinia urbanii,,"Salvia Cimarrona,Salvia,Salvia De La Rucilla"
Lepidagathis alopecuroidea,,nan
Lepidagathis cristata,,nan
Lepidagathis hamiltoniana,,nan
Lepidagathis incurva,,"Kentut rimba,nan"
Lepidagathis longifolia,,Penluroh
Lepidium apetalum,,nan
Lepidium campestre,,Mostaza Silvestre
Lepidium capense,,nan
Lepidium draba,,Draba
Lepidium iberis,,nan
Lepidium intermedium,,nan
Lepidium latifolium,,"Krambe Agria,Lepidio"
Lepidium myriocarpum,,nan
Lepidium ruderale,,nan
Lepidium sativum,,"Adi Suterisi,Mastuerzo,Cresson Alenois,Cress,Taratiza,Crusson D'Jardin,Teretura,Rshad"
Lepidium schinzii,,nan
Lepidium virginicum,,"Cresson Savane,Mastuerzo,Cresson Alenois,Cresson Danois"
Lepidogrammitis drymoglossoides,,nan
Lepidophyllum quadrangulare,,Tola
Lepionurus sylvestris,,nan
Lepisanthes cuneata,,"Teradang,Ruku-ruku"
Lepraria flava,,nan
Leptadenia lancifolia,,nan
Leptadenia reticulata,,nan
Leptandra virginica,,"Culverwortel,Culvers Root,Culver,Culver'S Physic,Culverwurzel,Physic Root,Blackroot"
Leptaspis cumingii,,nan
Leptaspis urceolata,,"Tampok gelang,Lapun payas"
Leptoderris nobilis,,nan
Leptonychia heteroclita,,"Sekinchak,Cheremai hantu,Jarum,Cheremai burong"
Leptospermum ericoides,,nan
Leptospermum flavescens,,"Hujong atap,Gelam bukit (Hill Melaleuca),Chuchur atap (Roof edge)"
Leptotaenia multifida,,nan
Lespedeza cuneata,,nan
Lespedeza stipulacea,,Lespedeza
Lessertia stricta,,nan
Letharia vulpina,,nan
Leucadendron concinnum,,Gumusagaci
Leucaena collinsii,,nan
Leucaena esculenta,,nan
Leucaena glauca,,Petai jawa
Leucaena leucocephala,,"Graines De Lin,Wild Tamarind,Lino Criollo,Koa Haole"
Leucaena trichodes,,nan
Leucas aspera,,nan
Leucas cephalotes,,nan
Leucas clarkei,,nan
Leucas flaccida,,nan
Leucas lanata,,nan
Leucas lavandulaefolia,,nan
Leucas lavandulifolia,,"Ketumbit,Ketumbak,Lenglengan"
Leucas lavandulilolia,,nan
Leucas martinicensis,,nan
Leucas stelligera,,nan
Leucas zeylanica,,"Daun luka-luka (Wound leaf),Pache-pache,Ketumbak,Lenglengan,Brobos,Ketumbit"
Leuchtenbergia principis,,nan
Leucojum aestivum,,nan
Leuconotis eugeniifolius,,"Cheret murai,Pulai akar"
Leucophyllum frutescens,,nan
Leucophyllum texanum,,nan
Leucopogon malayanus,,Chuchur atap
Leucosidea sericea,,nan
Leucospermum conocarpum,,nan
Leucosyke capitellata,,nan
Leucothoe catesbaei,,nan
Leucothoe davisiae,,Sierra Laurel
Leucothoe grayana,,Shui Li Lu
Leukosyke capitellata,,nan
Levisticum officinale,,"Yabani Kereviz,Lubstickel,Lovage"
Lewisia rediviva,,nan
Liatris punctata,,nan
Liatris spicata,,"Button Snakeroot,nan"
Liatris squarrulosa,,nan
Libothamnus nerifolius,,nan
Licania arborea,,nan
Licania microcarpa,,nan
Licaria camara,,nan
Licaria jamaicensis,,"Cigia Gorrita,Laurier Jaune,Cigua Prieta"
Licuala pumila,,nan
Licuala rumphii,,nan
Licuala spinosa,,nan
Licuala triphylla,,Palas tikus
Lightfootia denticulata,,nan
Lightfootia major,,nan
Ligularia fischerii,,O-Takara-Ko
Ligusticum acutilobum,,nan
Ligusticum canbyi,,nan
Ligusticum filicinum,,Osha Root
Ligusticum mutellina,,nan
Ligusticum porteri,,Osha Root
Ligusticum wallichii,,nan
Ligustrum glomeratum,,nan
Ligustrum ibota,,Ibota-No-Ki
Ligustrum indicum,,nan
Ligustrum japonicum,,Nezumi-Moti
Ligustrum lucidum,,"Nu Chen,Nu Chen P'I Chiu,To-Nezumi-Moti"
Ligustrum obtusifolium,,Ibota-No-Ki
Ligustrum ovalifolium,,Oba-Ibota
Ligustrum robustum,,nan
Ligustrum vulgare,,"Kurtbagri,Aligustre,Priveterinary"
Lilium auratum,,Yama-Yuri
Lilium brownii,,"Chia Pai Ho,Yeh Pai Ho,Pai Ho,Pai Ho Kan,Hsien Pai Ho"
Lilium bulbiferum,,Lilion
Lilium candidum,,"Beyaz Zambak,Lirio De Jardin,Lily,Madonna,Azucena,Bayaz Zanbag,Zanbaq,Sawsan Abyadh,Lily,White,Lis"
Lilium concolor,,"Shan Tan,nan"
Lilium croceum,,Lilion
Lilium giganteum,,nan
Lilium japonicum,,Sasa-Yuri
Lilium lancifolium,,Oni-Yuri
Lilium leichtliniivar.tigrinum,,Ko-Oni-Yuri
Lilium martagon,,"Martagon,Aphrodelle"
Lilium martagonum,,nan
Lilium philadelphicum,,nan
Lilium tigrinum,,"Tekir Zambak,Chuen Tan"
Lilium wallichianum,,nan
Limacia oblonga,,"Akar china (Chinese climber),Akar kuning (Yellow climber)"
Limnanthemum cristatum,,nan
Limnanthemum nymphaeoides,,nan
Limnanthemum nymphoides,,"Shui K'Uei,Fu K'Uei,Hsing Ts'Ai,H'Sing Ts'Ai"
Limnanthemum peltatum,,"Hui T'Iao,Hui T'Iao Ts'Ai,Chin So T'Ien"
Limnophila aromatica,,"Beremi,Rumput jari (Finger grass),Sebueh"
Limnophila indica,,nan
Limnophila roxburghii,,nan
Limnophila rugosa,,Selaseh banju
Limonium carolinianum,,nan
Limonium nashii,,nan
Limonium tetragonum,,nan
Limonium vulgare,,"Kunduzotu,Acelga Silvestre,Rosemary,Marsh"
Limosella aquatica,,Mudwort
Limosella aquaticavar.tenuifolia,,nan
Limosella capensis,,nan
Limosella grandiflora,,nan
Linaria bipartita,,nan
Linaria canadensis,,nan
Linaria cymbalaria,,"Hashishat Ash Shuquq,Cimbalaria"
Linaria elatine,,"Liblab Ahrash,Speedwell,Female"
Linaria spuria,,Vovote
Linaria vulgaris,,"Nevruzotu,Leinkraut,Linnete,Butter And Eggs,Hosoba-Unran"
Lindackeria laurina,,nan
Lindenbergia indica,,nan
Lindera benzoin,,nan
Lindera caudata,,nan
Lindera communis,,nan
Lindera glauca,,Shan Hu Chiao
Lindera malaccensis,,Perawas
Lindera pipericarpa,,Krangeyan
Lindera selangorensis,,Kerabu
Lindera sericea,,"Wu Chang,Tiao Chang"
Lindera sp,,nan
Lindera strychnifolia,,"Wu Yao,Tendai-Uyaku"
Lindera tzumu,,Tzu
Lindernia antipoda,,nan
Lindernia cordifolia,,nan
Lindernia crustacea,,"Akar kerak nasi (Dirty cookpot,Rumput jari chechak (Lizard..),Akar kelurut (Chancre root)"
Lindernia diffusa,,nan
Lindernia japonica,,nan
Lindernia oppositifolia,,nan
Lindernia senegalensis,,nan
Lindernia serrata,,nan
Lindernia veronicaefolia,,nan
Linociera oblongifolia,,nan
Linociera ramiflora,,nan
Linostoma decandrum,,nan
Linum catharticum,,"Mushil Keten,Lino Catartico"
Linum grandiflorum,,nan
Linum lewisii,,nan
Linum narbonesnse,,nan
Linum neomexicanum,,nan
Linum perenne,,Ya Ma
Linum rigidum,,nan
Linum sativum,,Shan Si Hu Ma
Linum strictum,,nan
Linum thunbergii,,nan
Linum usitatissimum,,"Keten,Flax,Lino,Chih Ma,Ama,Kittan,Hu Ma,Kahtan,Lin,Linaza,Linseed,Kettan"
Linum usutatissimum,,nan
Liparis odorata,,nan
Liparis treubii,,Gajang
Lippia adoensis,,nan
Lippia alba,,"Marguerite,Marguerite Blanche,Melisse,Marguerite Des Jardins"
Lippia barbata,,nan
Lippia berlandieri,,nan
Lippia berlandieria,,nan
Lippia chilensis,,Salvia Blanca
Lippia citriodora,,Lipia
Lippia cuneifolia,,Cancer Plant
Lippia deserticola,,nan
Lippia domingensis,,Oregano
Lippia dulcis,,"Lippia,Lippienkraut,Yerba Dulce"
Lippia geminata,,nan
Lippia graveolens,,nan
Lippia grisebachiana,,nan
Lippia ligustrina,,nan
Lippia lycioides,,nan
Lippia micromera,,"Oregano Poleo,Oregano"
Lippia multiflora,,nan
Lippia nodiflora,,"Bulaiha,Berbin Jeddawi"
Lippia origanoides,,Oregano
Lippia palmeri,,nan
Lippia pringlei,,nan
Lippia pseudo-thea,,nan
Lippia scaberrima,,nan
Lippia stoechadifolia,,nan
Lippia triphylla,,"Luisa,nan"
Lippia umbellata,,nan
Liquidambar formosana,,"Pai Chiao Hsiang,Feng,Feng Tzu Kuei,Feng Hsiang Chih,Feng Jen"
Liquidambar orientale,,"Minjak rasamala,Blendok getah"
Liquidambar orientalis,,"So Ho Yu,Sigala Agaci,Storax Calamita,So Ho Hsiang,Storax"
Liquidambar styraciflua,,"Amerikanischer Styraxbaum,Xochiocotzoquahuitl,Amerikaanse Styrax,Sweetgum Tree,Amberboom,American Styrax"
Liriodendron chinensis,,nan
Liriodendron tulipifera,,nan
Liriodendron tulipiferum,,Lale Agaci
Liriope graminifolia,,Mai Dong
Liriope platyphylla,,Yabu-Ran
Liriope spicata,,nan
Liriosma ovata,,"Muirapuama,Lignum Muirapuama"
Lisianthus chelonoides,,nan
Litanthus pusillus,,nan
Litchi chinensis,,"Li Chih,Quenepe Chinois,Li Chih Ho,Reisi,Litchi,Li Chi Tzu"
Lithocarpus hungmoshanensis,,nan
Lithocarpus pachyphyllus,,nan
Lithocarpus sp,,nan
Lithospermum arvense,,nan
Lithospermum carolinense,,Gromwell
Lithospermum cinereum,,nan
Lithospermum erythrorhizon,,Murasaki
Lithospermum fruticosum,,"Hierba De Las Siete Sangrias,Chindjar"
Lithospermum incisum,,nan
Lithospermum officinale,,"Habb Al Qalb,Tzu Tan,Taskesenotu,Ya Hsien Ts'Ao,Mijo De Sol,Tzu Ts'Ao,Common Gromwell,Ti Hsueh"
Lithospermum officinalevar.erythrorhizon,,Murasaki
Lithospermum ruderale,,Stoneseed
Lithospermum sp,,Zacazilin
Lithraea caustica,,Litre
Lithraea molleoides,,nan
Litosanthes biflora,,Kam Paeng Ched Chan
Litsea cubeba,,nan
Litsea glauca,,Yueh Kuei
Litsea glaucescens,,nan
Litsea glaucesens,,nan
Litsea glutinosa,,Wuru lilin
Litsea hutchinsonii,,nan
Litsea lancifolia,,nan
Litsea luzonica,,nan
Litsea magnifolia,,nan
Litsea monopetala,,nan
Litsea neesiana,,Laurel De La Sierra
Litsea novoleontes,,nan
Litsea novoleontis,,nan
Litsea odorifera,,Terawas
Litsea penangiana,,Medang asam
Litsea perrottetii,,nan
Litsea polyantha,,nan
Litsea quercoides,,nan
Litsea solomonensis,,nan
Litsea sp,,nan
Litsea spathacea,,Kayu tengkoi betina
Litsea stocksii,,nan
Litsea tetranthera,,nan
Litsea tomentosa,,nan
Litsea umbellata,,Medang mayam
Litsea variabilis,,nan
Litsea vitiana,,nan
Livistona chinensis,,Pu Kui
Livistona sp.,,nan
Lobelia angulata,,nan
Lobelia aquatica,,"Cardinale Bleue,Cardinale Bleu"
Lobelia assurgens,,Cardinale Rouge
Lobelia chinensis,,Ban Bian Lian
Lobelia cliffortiana,,"Yerba Mora,La Mandu"
Lobelia decipiens,,nan
Lobelia decurrens,,nan
Lobelia erinus,,Lobelia
Lobelia excelsa,,nan
Lobelia fenestralis,,nan
Lobelia fervens,,nan
Lobelia filiformis,,nan
Lobelia inflata,,"Frengiotu,Indian Tobacco,Lobelia,Lobelya"
Lobelia laxiflora,,nan
Lobelia leschenaultiana,,nan
Lobelia nicotianaefolia,,nan
Lobelia nicotinaefolia,,Dhaval
Lobelia pinifolia,,nan
Lobelia preslii,,nan
Lobelia pyramidalis,,nan
Lobelia radicans,,"Pan Pien Lien,nan"
Lobelia sessilifolia,,nan
Lobelia siphilitica,,Lobelia
Lobelia sp,,nan
Lobelia syphilitica,,"Lobelia,Frengiotu"
Lobelia urens,,Matacaballos
Lobularia maritima,,nan
Lodoicea maldivica,,Kelapa djengge
Loeselia greggii,,nan
Loeselia mexicana,,nan
Loeselia scariosa,,nan
Loeselia sp,,nan
Lolium perenne,,"Darnell,nan"
Lolium sp,,nan
Lolium tementulum,,nan
Lolium temulentum,,"Darnel,Delice,Zizana,Wenwort,Rwaita"
Lomatia ferruginea,,Huinque
Lomatium dissectum,,nan
Lomatium nudicaule,,nan
Lomatium utriculatum,,nan
Lonchocarpus benthamianus,,nan
Lonchocarpus chrysophyllus,,nan
Lonchocarpus cyanescens,,Yoruba Indigo
Lonchocarpus densiflorus,,White Haiari
Lonchocarpus eriocarinalis,,nan
Lonchocarpus floribundus,,nan
Lonchocarpus goosenii,,Mbongum
Lonchocarpus latifolius,,nan
Lonchocarpus longistylis,,nan
Lonchocarpus longistylus,,nan
Lonchocarpus martynii,,nan
Lonchocarpus nicou,,nan
Lonchocarpus peckoltii,,Timbo Boticario
Lonchocarpus sericeus,,Anon De Majagua
Lonchocarpus urucu,,nan
Lonchocarpus utilis,,nan
Lonicera caprifolium,,"Honeysuckle,Madreselva,Hanim Eli,Chevrefeuille,Chevre-Feuille Des Jardins,Chevre Feuille"
Lonicera ciliosa,,nan
Lonicera glauca,,nan
Lonicera involucrata,,nan
Lonicera japonica,,"Jen Tung Chiu,Yin Hua,Sui-Kazura,Jen Tung,Chin Yin Hua,Jen Tung Kao,Chin Yin T'Eng"
Lonicera periclymenum,,"Caprifolium,nan"
Lonicera sp,,nan
Lonicera xylosteum,,Jin Tung
Lopezia racemosa,,nan
Lopezia sp,,nan
Lophanthus rugosus,,Ho Hsiang
Lophatherum elatum,,"Sui Ku Tzu,Tan Chu Yeh"
Lophatherum gracile,,"Tan Chu,Rumput kelurut (Chancre grass),Sasa-Kusa"
Lophira alata,,"Niam,nan"
Lophocereus schottii,,Cinita
Lophopetalum pallidum,,Keroi
Lophopetalum toxicum,,nan
Lophophora williamsi,,nan
Lophophora williamsii,,"Peyote,Ubatama,Peytote"
Lophopyxis maingayi,,Akar belimbing hutan
Lophopyxis pierrei,,Tali Sesawi
Loranthus acaciae,,nan
Loranthus buddleioides,,nan
Loranthus confusus,,nan
Loranthus europaeus,,"Mistletoe,Ixos"
Loranthus ferrugineus,,"Dedalu api merah,Dedalu api gajah,Nenalu asap"
Loranthus globiferus,,nan
Loranthus grandiflorus,,nan
Loranthus grandifrons,,Dedalu api gajah
Loranthus kaempferi,,"Sung Lo,Ma Tou Ling,Nu Lo"
Loranthus pentandrus,,"Dedalu api jantam,Dedalu api puteh"
Loranthus sp,,nan
Loranthus sp.,,Dedalu
Loranthus yadoriki,,"Sang Chi Sheng,nan"
Loropetalum chinense,,nan
Lotononis eriantha,,nan
Lotononis lanceolata,,nan
Lotononis ornata,,nan
Lotononis versicolor,,nan
Lotus arabicus,,nan
Lotus corniculatus,,"Pai Mai Ken,Birdsfoot Trefoil,Cuernecillo"
Lotus urbani?,,Trefles
Loxocarpus incana,,Tarum batu (Rock indicgo)
Loxogramme involuta,,nan
Lucuma glycyphloea,,nan
Lucuma salicifolia,,nan
Ludwigia adscendens,,nan
Ludwigia perennis,,nan
Ludwigia prostrata,,nan
Luehea sp,,Acoita Cavalos
Luffa acutangula,,"Kachur,Leef,Liane Torchon,Servilleta Del Pobre,Ketola,Serviette Des Pauvres,Oyong,Petola sanding,Muneco,Torchon,Kdulifka,Esponja"
Luffa aegyptiaca,,"Ssu Kua,Leaf,Serviette Des Pauvres,Lifka,Musu,Torchon,Servilleta Del Pobre,T'Ien Lo,T'Ien Ssu Kua,Man Kua,Liane Torchon,Pu Kua"
Luffa amara,,nan
Luffa cylindrica,,"Hetima,Bestru,Pipengaille,Ketola"
Luffa echinata,,nan
Luffa operculata,,nan
Luffa sp,,"Man Kua,Ran Turai,Pu Kua,Katuki,Su Kua,T'Ien Ssu Kua,T'Ien Lo"
Luisia tenuifolia,,nan
Luisia teres,,"Ch'Ai Tzu Ku,Chin Ch'Ai Ku"
Luisia trichorrhiza,,nan
Lumnitzera coccinea,,Sesak
Lumnitzera littorea,,nan
Lumnitzera racemosa,,nan
Lumnitzera sexangula,,"Tumu barau,Tumu mata buaya,Mata buaya"
Lunasia amara,,"Rabelesia,Rabelesie"
Lupinus albicaulis,,Lupine
Lupinus albus,,"Beyaz Acibakla,Lupino"
Lupinus angustifolius,,"Thermos Hemeros,nan"
Lupinus gentryanus,,nan
Lupinus hirsutus,,Thermos
Lupinus littoralis,,nan
Lupinus luteus,,nan
Lupinus pilosus,,Lupine
Lupinus polyphyllus?,,nan
Lupinus sp,,Lupine
Lupinus termis,,"Termus,nan"
Luvunga sarmentosa,,nan
Luvunga scandens,,Susoh ayam hutan (Woodlnd cock
Lychnis alba,,Wild Campion
Lychnis dioica,,Wild Campion
Lychnis flos-cuculi,,Bulot
Lychnis grandiflora,,"Chien Ch'Un Lo,Chien Hung Sha"
Lychnis indica,,nan
Lychnophora brunioides,,nan
Lycium acutifolium,,nan
Lycium barbarum,,"A'Usaj,nan"
Lycium chinense,,"Kou Chi,Kou Chi Chien,Yang Ju,Kou Chi Chiu,Hsien Jen Chang,T'Ien Ts'Ai,Kuko,Ti Ku P'I"
Lycium chinensis,,nan
Lycium europaeum,,Cambronera
Lycium europeum,,Mater Silvi
Lycium halamifolium,,Matrimony Vine
Lycium halimifolium,,"Cambronera,Matrimony Vine"
Lycium halmifolium,,nan
Lycium kraussii,,nan
Lycium ruthenicum,,nan
Lycium sp,,"Cambronera,Box Thorn,Spina Cristi,Boksdoorn,Bocksdorn,nan"
Lycopersicon cerasiforme,,nan
Lycopersicon esculentum,,"Pomodoro,Tomate,Tamata,Liu Yueh Shih,Tomatero,Tomato,Fan Shih,Pomme D'Amour"
Lycopersicon sp,,nan
Lycopodium alopecuroides,,nan
Lycopodium carinatum,,nan
Lycopodium cernuum,,"Paku serani (Portuguese fern),Rumput serani (Portuguese gras,Rumput kenarus,Sarang baganding,Daoen rairai,L."
Lycopodium clavatum,,"Lycopode,Musco Clavato,Kurtpencesi,Licopodio"
Lycopodium clavatumvar.nipponicum,,Hikage-No-Kazura
Lycopodium complanatum,,nan
Lycopodium japonicum,,"Yu Po,Ch'Ien Nien Po,Wan Nien Sung"
Lycopodium laxum,,Koempaj loebang
Lycopodium phlegmaria,,"Roetoe-roetoe kajoe,Koempaj lemboet"
Lycopodium selago,,Selago
Lycopodium sp,,"Groundpine,Chu Yuen Sui"
Lycopsis arvensis,,Licopside
Lycopus arvensis,,"Buglos,Buglosse"
Lycopus europaeus,,"Su Ferasyunu,Farasyon Maiy,Menta De Lobo"
Lycopus lucidus,,"Siro-Ne,Tse Lan"
Lycopus virginicus,,"Bugleweed,Su Ferasyunu,nan"
Lycoris albiflora,,Sirobana-Manzyusyage
Lycoris aurea,,nan
Lycoris haywardii,,Syoki-Zuisen
Lycoris radiata,,"Higan-Bana,Shih Suan,Lao Ya Suan,I Chih Chien"
Lycoris sanguinea,,Kitune-No-Kamisori
Lycoris squamigera,,"Shan T'Zu Ku,Natu-Zuisen"
Lycoseris latifolia,,"Botonera,nan"
Lygodesmia juncea,,Rush Skeletonweed
Lygodium circinatum,,Reriboe
Lygodium circinnatum,,"Ribu-ribu dudok (Sitting Lygo.,Akar sidin"
Lygodium flexuosum,,"Ribu-ribu gajah (Big Lygodium),Darai paya,Ribu-ribu besar (Big Lygodium)"
Lygodium japonicum,,nan
Lygodium microphyllum,,nan
Lygodium pinnatifidum,,nan
Lygodium scandens,,"Ribu-ribu,Paku kawat,Riboe-riboe,Paku hata bejas,Selada,Pakoe kawat"
Lygodium volubile,,nan
Lyonia ovalifolia,,nan
Lysichiton americanum,,"Western Skunkcabbage,nan"
Lysiloma acapulcense,,nan
Lysiloma acapulcensis,,nan
Lysiloma ambigua,,"Taquito,Tchia-Tchia Marron"
Lysiloma latisiliqua,,"TaberCaracoli,Tabernon,Caracolillo,Tavernon"
Lysiloma latisoliqua,,Taverneau
Lysiloma watsoni,,nan
Lysimachia christinae,,nan
Lysimachia clethroides,,nan
Lysimachia foenum-graecum,,nan
Lysimachia fortunei,,nan
Lysimachia japonica,,nan
Lysimachia nemorum,,Wood Pimpernel
Lysimachia nummularia,,"Monnoyere,Pfennigkraut,Herba De La Moneda,Penningkruid,Moneywort,Centimorbia"
Lysimachia numularia,,Moneywort
Lysimachia paridiformis,,nan
Lysimachia quadrifolia,,Fourleaf Loosestrife
Lysimachia sikokiana,,P'Ai Ts'Ao
Lysimachia vulgaris,,"Wederik,Loosestrife,Grande Lysimaque,Lisimaquia,Yellow Loosestrife,Mazza D'Oro,Lisimaquia Amarilla,Gold Felberlich"
Lythrum alatum,,Yerba De Cancer
Lythrum album,,Hierba De Cancer
Lythrum anceps,,Miso-Hagi
Lythrum salicaria,,"Kirmizi Hevhulma,Farandal,Ezo-Miso-Hagi,Salicaria"
Maba buxifolia,,"Secheret laut,Kayu arang (Ebony)"
Maba ebenos,,"Wu Wen Mu,Wu Mu"
Macadamia ternifolia,,nan
Macaranga denticulata,,"Balek angin,Mesepat"
Macaranga gigantea,,"Muell.-Arg.,Mengkubong,Kubang,nan"
Macaranga grandifolia,,nan
Macaranga griffithiana,,"Mahang tutup,Mahang bulan"
Macaranga harveyana,,nan
Macaranga henricorum,,Man Lau
Macaranga hullettii,,Mahang bulan
Macaranga hypoleuca,,"Mahang puteh,Balek angin,Mahang bulan"
Macaranga incisa,,Mahang
Macaranga involucrata,,nan
Macaranga major,,"Chiang Chen Hsiang,Chi Ku Hsiang,Tzu T'Eng Hsiang"
Macaranga peltata,,nan
Macaranga populifolia,,"Ludai api,Memaya,Maya-maya,nan"
Macaranga tanaria,,"Mahang puteh,Mampu nangkat-nangkat"
Macaranga tanarius,,nan
Macaranga triloba,,"Sape,Mahang damar,Kajoo Sepat"
Macaranga vitiensis,,nan
Machaeranthera woody,,Aster
Machaerium angustifolium,,nan
Machaerium macrocarpum,,nan
Machaerocereus gummosus,,Pitahaya
Machilus macrantha,,nan
Machilus pauhoi,,Pau Hoi
Macleania ecuadorensis,,nan
Macleaya cordata,,Takeni-Gusa
Maclura pomifera,,"Osage Orange,Orange,Osage"
Macodes petola,,nan
Macoubea guianensis,,nan
Macroclinidium verticillatum,,Kuei Tu Yu
Macrolenes nemorosa,,"Akar sendudok,Kedudok rimba"
Macroptilium lathyroides,,"Ajai,Pois Marron"
Macrosiphonia hypoleuca,,Hierba Cucaracha
Macrosolen cochinchinensis,,nan
Macrosolen tricolor,,nan
Macrotomia benthamii,,nan
Macrotomia euchroma,,nan
Macrotomia perennis,,nan
Macrozamia sp,,nan
Madhuca butyracea,,nan
Madhuca indica,,Madhuka
Madhuca latifolia,,nan
Madhuca longifolia,,Mowra Butter
Madhuca sp,,nan
Madia sativa,,nan
Maerua angolensis,,nan
Maerua arenaria,,nan
Maerua glauca,,nan
Maesa acuminatissima,,nan
Maesa balansae,,Don Rang Cua
Maesa chisia,,nan
Maesa doraena,,Tu Ken Shan
Maesa indica,,Bunga kasi hutan
Maesa japonica,,nan
Maesa lanceolata,,nan
Maesa ramentacea,,"Gembir-gambir,Kecham,nan"
Maesa tetrandra,,nan
Magnolia conspicua,,"Mu Pi,P'Ao,Hou T'Ao,Hsin I,Ying Ch'Un"
Magnolia denudata,,"Haku-Mokuren,nan"
Magnolia grandiflora,,"Magnolia,Taisan-Boku,nan"
Magnolia hypoleuca,,"Hou P'O,Chu Che,Fou Lan Lo Le"
Magnolia kobus,,"Kobusi,Kobus Magnolia"
Magnolia liliflora,,"Mokuren(Si-Mokuren),Xin Yi"
Magnolia obovata,,Mu Lan
Magnolia officinalis,,"Magnolia,Chinese Magnolia,Magnolier Officinal,Choon Pok,Ch'Uan Pu"
Magnolia salicifolia,,Tamusi-Ba
Magnolia schiedeana,,nan
Magnolia schiedianus,,nan
Magnolia stellata,,Side-Kobusi
Magnolia virginiana,,"Manolya,Magnolya"
Magonia pubescens,,nan
Mahonia aquifolia,,"Mahonia,Mountain Grape,Holly-Leaved Barberry,Agrecillo,Berberi,Epine Vinette,Oregon Grape"
Mahonia aquifolium,,"Oregongrape,Oregon Grape"
Mahonia bealei,,nan
Mahonia fortunei,,Shi Da Gong Lao
Mahonia ganpinensis,,nan
Mahonia healei,,Shi Da Gong Lao
Mahonia japonica,,Shi Da Gong Lao
Mahonia napaulensis,,nan
Mahonia repens,,Oregongrape
Malabaila sekakul,,Sekakul
Malachra alceifolia,,Malva
Malachra capitata,,nan
Malachra sp,,nan
Malaisia tortuosa,,nan
Mallotus anamiticus,,Bach Dang Nam
Mallotus apelta,,nan
Mallotus auriculatus,,nan
Mallotus barbatus,,"Balek angin,nan"
Mallotus floribundus,,"Tapen,Mahang,Maya-maya,Memaya,Nakau"
Mallotus furetianus,,nan
Mallotus japonicus,,Akame-Gasiwa
Mallotus lancifolius,,nan
Mallotus lianus,,nan
Mallotus macrostachyus,,"Mesepat,Balek angin,Duloh merah,Nang kerbau"
Mallotus miquelianus,,Kayu kering
Mallotus montanus,,Ramin bukit
Mallotus muticum,,nan
Mallotus oppositifolius,,nan
Mallotus paniculatus,,"Balek angin,Balek angin bukit,Balik angin,Mesepat hitam,Balek angin gajah"
Mallotus philippensis,,"Kampillaka,Kamala"
Mallotus philippinensis,,"Kamala,Tuba,Kusu-No-Ha-Gasiwa,Kapasam"
Mallotus poilanei,,nan
Mallotus repandus,,Akar charek puteh
Mallotus sp,,nan
Malouetia nitida,,nan
Malouetia tamaquarina,,Cuchara Caspi
Malpighia domingense,,Cerisier Capitaine
Malpighia domingensis,,"Capitaine,Moureiller Piquant"
Malpighia glabra,,nan
Malpighia polytricha,,nan
Malpighia punicifolia,,Cerisier De S.D.
Malpighia urens,,Cerisier Capitaine
Malus sylvestris,,"Tuffah,Malum,Apple,Pomi,Lin Ch'In,Pomme De France,Sufferjang,Appelboom,Appleseed,Hua Hung,Manzano,Pommier,Saio,Nai,Lai Ch'In,Maschanzkerapfel,Pomme,Manzana,Pomme D'Arbre,Alma"
Malus sylvestrus,,nan
Malva alcea,,Sigmarswurz
Malva crispa,,Malva
Malva moschata,,Malva Almizclada
Malva neglecta,,"Guimauve,Khubbaizah,Kass Pappeln,Penjer"
Malva nicaeensis,,nan
Malva nicaensis,,Malva
Malva pareviflora,,nan
Malva parviflora,,nan
