,TAXON,ACTIVITY,CNAME,FAMILY,GENUS,SPECIES
7112,Litsea novoleontes,Tea,nan,Lauraceae,Litsea,novoleontes
7113,Litsea novoleontis,Asthma,nan,Lauraceae,Litsea,novoleontis
7114,Litsea odorifera,Lactagogue,Terawas,Lauraceae,Litsea,odorifera
7115,Litsea penangiana,Hysteria,Medang asam,Lauraceae,Litsea,penangiana
7116,Litsea perrottetii,Boil,nan,Lauraceae,Litsea,perrottetii
7117,Litsea polyantha,"Ache(Stomach),Anodyne,Carbuncle,Dropsy,Loin,Anasarca,Colic,Wound",nan,Lauraceae,Litsea,polyantha
7118,Litsea quercoides,"Sore,Ache(Head)",nan,Lauraceae,Litsea,quercoides
7119,Litsea solomonensis,Leg,nan,Lauraceae,Litsea,solomonensis
7120,Litsea sp,"Eruption,Malaria,Medicine,Pinworms,Skin,Abdomen",nan,Lauraceae,Litsea,sp
7121,Litsea spathacea,Fever,Kayu tengkoi betina,Lauraceae,Litsea,spathacea
7122,Litsea stocksii,"Bladder,Urethritis,Sprain",nan,Lauraceae,Litsea,stocksii
7123,Litsea tetranthera,"Intestine,Catarrh",nan,Lauraceae,Litsea,tetranthera
7124,Litsea tomentosa,Ache(Head),nan,Lauraceae,Litsea,tomentosa
7125,Litsea umbellata,Boil,Medang mayam,Lauraceae,Litsea,umbellata
7126,Litsea variabilis,Poison,nan,Lauraceae,Litsea,variabilis
7127,Litsea vitiana,Stomach,nan,Lauraceae,Litsea,vitiana
7128,Livistona chinensis,"Hepatomegaly,Lymphadenitis,Splenomegaly,Neophasia",Pu Kui,Arecaceae,Livistona,chinensis
7129,Livistona sp.,Ophthalmia,nan,Arecaceae,Livistona,sp.
7130,Lobelia angulata,"Emetic,Ache(Stomach),Dyspepsia",nan,Campanulaceae,Lobelia,angulata
7131,Lobelia aquatica,"Purgative,Syphilis,Depurative","Cardinale Bleue,Cardinale Bleu",Campanulaceae,Lobelia,aquatica
7132,Lobelia assurgens,"Purgative,Syphilis",Cardinale Rouge,Campanulaceae,Lobelia,assurgens
7133,Lobelia chinensis,"Bite(Bug),Bite(Snake),Depurative,Fever,Hepatoma,Malaria,Wound,Asthma,Rheumatism,Ringworm,Sore,Tumor(Nose),Jaundice","nan,Ban Bian Lian",Campanulaceae,Lobelia,chinensis
7134,Lobelia cliffortiana,"Chest,Venereal","Yerba Mora,La Mandu",Campanulaceae,Lobelia,cliffortiana
7135,Lobelia decipiens,Potherb,nan,Campanulaceae,Lobelia,decipiens
7136,Lobelia decurrens,Poison,nan,Campanulaceae,Lobelia,decurrens
7137,Lobelia erinus,"Divination,Cancer","nan,Lobelia",Campanulaceae,Lobelia,erinus
7138,Lobelia excelsa,Fumitory,nan,Campanulaceae,Lobelia,excelsa
7139,Lobelia fenestralis,Heart,nan,Campanulaceae,Lobelia,fenestralis
7140,Lobelia fervens,"Swelling,Poultice",nan,Campanulaceae,Lobelia,fervens
7141,Lobelia filiformis,Potherb,nan,Campanulaceae,Lobelia,filiformis
7142,Lobelia inflata,"Antismoking,Asthma,Bronchitis,Cancer,Cancer(Breast),Convulsion,Emetic,Expectorant,Eye,Fumitory,Nervine,Nicotinism,Poison,Sialogogue,Spasm,Sudorific,Medicine,Antidote,Fatality,Narcotic,Urticaria","nan,Frengiotu,Indian Tobacco,Lobelia,Lobelya",Campanulaceae,Lobelia,inflata
7143,Lobelia laxiflora,"Asthma,Emetic,Expectorant,Inflammation,Sore,Internulcer,Narcotic",nan,Campanulaceae,Lobelia,laxiflora
7144,Lobelia leschenaultiana,"Fumitory,Insecticide,Poison",nan,Campanulaceae,Lobelia,leschenaultiana
7145,Lobelia nicotianaefolia,"Narcotic,Poison,Antiseptic,Insecticide",nan,Campanulaceae,Lobelia,nicotianaefolia
7146,Lobelia nicotinaefolia,Antidote(Scorpion),Dhaval,Campanulaceae,Lobelia,nicotinaefolia
7147,Lobelia pinifolia,"Diaphoretic,Rheumatism,Skin,Stimulant",nan,Campanulaceae,Lobelia,pinifolia
7148,Lobelia preslii,Potherb,nan,Campanulaceae,Lobelia,preslii
7149,Lobelia pyramidalis,"Antispasmodic,Poison",nan,Campanulaceae,Lobelia,pyramidalis
7150,Lobelia radicans,"Ague,Ascites,Asthma,Bite(Snake),Cancer,Caries,Diuretic,Fever,Trauma,Abscess,Bite(Bug),Bruise,Sore,Alexiteric","Pan Pien Lien,nan",Campanulaceae,Lobelia,radicans
7151,Lobelia sessilifolia,"Bite(Snake),Bronchitis,Expectorant,Sore,Cough",nan,Campanulaceae,Lobelia,sessilifolia
7152,Lobelia siphilitica,"Syphilis,Cancer","nan,Lobelia",Campanulaceae,Lobelia,siphilitica
7153,Lobelia sp,Syphilis,nan,Campanulaceae,Lobelia,sp
7154,Lobelia syphilitica,"Cancer,Diuretic,Dysentery,Emetic,Poison,Sudorific,Syphilis,Alterative,Expectorant,Gonorrhea","Lobelia,nan,Frengiotu",Campanulaceae,Lobelia,syphilitica
7155,Lobelia urens,Fever,Matacaballos,Campanulaceae,Lobelia,urens
7156,Lobularia maritima,"Diuretic,Scurvy",nan,Brassicaceae,Lobularia,maritima
7157,Lodoicea maldivica,"Antidote,Glycosuria,Panacea,Preservative,Diabetes,Tonic","nan,Kelapa djengge",Arecaceae,Lodoicea,maldivica
7158,Loeselia greggii,Fever,nan,Polemoniaceae,Loeselia,greggii
7159,Loeselia mexicana,"Alopecia,Diaphoretic,Diuretic,Emetic,Fever,Purgative,Sudorific,Expectorant,Soap",nan,Polemoniaceae,Loeselia,mexicana
7160,Loeselia scariosa,Chill,nan,Polemoniaceae,Loeselia,scariosa
7161,Loeselia sp,Fever,nan,Polemoniaceae,Loeselia,sp
7162,Lolium perenne,"Cancer,Diarrhea,Hemorrhage,Poison","Darnell,nan",Poaceae,Lolium,perenne
7163,Lolium sp,Intoxicant,nan,Poaceae,Lolium,sp
7164,Lolium tementulum,Poison,nan,Poaceae,Lolium,tementulum
7165,Lolium temulentum,"Anodyne,Homeopathy,Intoxicant,Narcotic,Neuralgia,Poison,Rheumatism,Wen","Darnel,Delice,nan,Zizana,Wenwort,Rwaita",Poaceae,Lolium,temulentum
7166,Lomatia ferruginea,Sclerosis(Belly),Huinque,Proteaceae,Lomatia,ferruginea
7167,Lomatium dissectum,"Distemper(Veterinary),Tonic,Trachoma",nan,Apiaceae,Lomatium,dissectum
7168,Lomatium nudicaule,"Ache(Head),Ache(Stomach),Cold,Cough,Fumigant,Laxative,Mammary,Parturition,Sore(Throat),Knee,Ache(Back),Carbuncle,Swelling",nan,Apiaceae,Lomatium,nudicaule
7169,Lomatium utriculatum,"Ache(Head),Stomach",nan,Apiaceae,Lomatium,utriculatum
7170,Lonchocarpus benthamianus,Piscicide,nan,Fabaceae,Lonchocarpus,benthamianus
7171,Lonchocarpus chrysophyllus,Piscicide,nan,Fabaceae,Lonchocarpus,chrysophyllus
7172,Lonchocarpus cyanescens,"Leprosy,Sore,Stomachic,Yaws,Cataract,Puerperium,Skin","nan,Yoruba Indigo",Fabaceae,Lonchocarpus,cyanescens
7173,Lonchocarpus densiflorus,Piscicide,White Haiari,Fabaceae,Lonchocarpus,densiflorus
7174,Lonchocarpus eriocarinalis,Fever,nan,Fabaceae,Lonchocarpus,eriocarinalis
7175,Lonchocarpus floribundus,Piscicide,nan,Fabaceae,Lonchocarpus,floribundus
7176,Lonchocarpus goosenii,Fever,Mbongum,Fabaceae,Lonchocarpus,goosenii
7177,Lonchocarpus latifolius,Insecticide,nan,Fabaceae,Lonchocarpus,latifolius
7178,Lonchocarpus longistylis,Intoxicant,nan,Fabaceae,Lonchocarpus,longistylis
7179,Lonchocarpus longistylus,Intoxicant,nan,Fabaceae,Lonchocarpus,longistylus
7180,Lonchocarpus martynii,Piscicide,nan,Fabaceae,Lonchocarpus,martynii
7181,Lonchocarpus nicou,Insecticide,nan,Fabaceae,Lonchocarpus,nicou
7182,Lonchocarpus peckoltii,Tumor,Timbo Boticario,Fabaceae,Lonchocarpus,peckoltii
7183,Lonchocarpus sericeus,"Abdomen,Ache(Back),Convulsion,Diuretic,Eruption,Laxative,Parasiticide,Piscicide,Poison,Scurvy,Skin,Stomachic,Wound","nan,Anon De Majagua",Fabaceae,Lonchocarpus,sericeus
7184,Lonchocarpus urucu,"Piscicide,Insecticide",nan,Fabaceae,Lonchocarpus,urucu
7185,Lonchocarpus utilis,Insecticide,nan,Fabaceae,Lonchocarpus,utilis
7186,Lonicera caprifolium,"Asthma,Astringent,Cancer,Depurative,Diuretic,Expectorant,Fever,Laxative,Sudorific,Cataplasm,Amygdalitis,Respiratory,Catarrh,Spasm","Honeysuckle,Madreselva,Hanim Eli,Chevrefeuille,Chevre-Feuille Des Jardins,Chevre Feuille",Caprifoliaceae,Lonicera,caprifolium
7187,Lonicera ciliosa,"Hair-Tonic,Poison,Shampoo",nan,Caprifoliaceae,Lonicera,ciliosa
7188,Lonicera glauca,Colic(Veterinary),nan,Caprifoliaceae,Lonicera,glauca
7189,Lonicera involucrata,"Feet,Laxative,Poultice,Swelling,Vermifuge,Leg,Sore,Lactogogue",nan,Caprifoliaceae,Lonicera,involucrata
7190,Lonicera japonica,"Antidote,Arthritis,Bactericide,Boil,Cancer(Breast),Cancer(Esophagus),Diarrhea,Diuretic,Dysentery,Febrifuge,Fever,Flu,Inflammation,Longevity,Lymphadenitis,Refrigerant,Scabies,Skin,Sore,Stomachic,Swelling,Tea,Tumor,Ache(Head),Enteritis,Rheumatism,Astringent,Cancer,Fungicide,Infection,Vitality","Jen Tung Chiu,nan,Yin Hua,Sui-Kazura,Jen Tung,Chin Yin Hua,Jen Tung Kao,Chin Yin T'Eng",Caprifoliaceae,Lonicera,japonica
7191,Lonicera periclymenum,"Cancer,Diuretic,Respiratory,Spasm,Splenitis,Sudorific","Caprifolium,nan",Caprifoliaceae,Lonicera,periclymenum
7192,Lonicera sp,Tea,nan,Caprifoliaceae,Lonicera,sp
7193,Lonicera xylosteum,Tumor,Jin Tung,Caprifoliaceae,Lonicera,xylosteum
7194,Lopezia racemosa,"Bruise,Ache(Tooth)",nan,Onagraceae,Lopezia,racemosa
7195,Lopezia sp,"Gargle,Smallpox,Sore(Throat)",nan,Onagraceae,Lopezia,sp
7196,Lophanthus rugosus,"Cancer(Uterus),Carminative,Cholera,Deodorant,Halitosis,Hangover,Mouthwash,Nausea,Pregnancy,Stomachic","nan,Ho Hsiang",Lamiaceae,Lophanthus,rugosus
7197,Lophatherum elatum,"Abortifacient,Diuretic,Fever,Intoxicant","Sui Ku Tzu,Tan Chu Yeh",Poaceae,Lophatherum,elatum
7198,Lophatherum gracile,"Anxiety,Apprehension,Carminative,Chancre,Diuretic,Fever,Flu,Heatstroke,Hematuria,Sore(Throat),Stomachic,Tea,Dysuria,Measles,Oliguria,Thirst,Insomnia","nan,Tan Chu,Rumput kelurut (Chancre grass),Sasa-Kusa",Poaceae,Lophatherum,gracile
7199,Lophira alata,Hair-Oil,"Niam,nan",Ochnaceae,Lophira,alata
7200,Lophocereus schottii,Cancer,Cinita,Cactaceae,Lophocereus,schottii
7201,Lophopetalum pallidum,Arrow-poison,Keroi,Celastraceae,Lophopetalum,pallidum
7202,Lophopetalum toxicum,Poison(Arrow),nan,Celastraceae,Lophopetalum,toxicum
7203,Lophophora williamsi,Hallucinogen,nan,Cactaceae,Lophophora,williamsi
7204,Lophophora williamsii,"Ache(Back),Ache(Head),Anodyne,Cardiotonic,Fever,Hallucinogen,Intoxicant,Lactogogue,Narcotic,Poison,Popison,Psychedelic,Religion,Sedative,Sunstroke,Tonic,Corn,Arthritis,Rheumatism","nan,Peyote,Ubatama,Peytote",Cactaceae,Lophophora,williamsii
7205,Lophopyxis maingayi,Ulcer,Akar belimbing hutan,Celastraceae,Lophopyxis,maingayi
7206,Lophopyxis pierrei,"Sore,Sting(Fish),Wound,Poultice",Tali Sesawi,Celastraceae,Lophopyxis,pierrei
7207,Loranthus acaciae,Anthrax,nan,Loranthaceae,Loranthus,acaciae
7208,Loranthus buddleioides,Cholera,nan,Loranthaceae,Loranthus,buddleioides
7209,Loranthus confusus,Dysentery,nan,Loranthaceae,Loranthus,confusus
7210,Loranthus europaeus,"Sclerosis,Tumor","Mistletoe,Ixos",Loranthaceae,Loranthus,europaeus
7211,Loranthus ferrugineus,"Malaria,Parturition,Bite(Snake),Wound","Dedalu api merah,Dedalu api gajah,Nenalu asap",Loranthaceae,Loranthus,ferrugineus
7212,Loranthus globiferus,Itch,nan,Loranthaceae,Loranthus,globiferus
7213,Loranthus grandiflorus,Ringworm,nan,Loranthaceae,Loranthus,grandiflorus
7214,Loranthus grandifrons,Ringworm,Dedalu api gajah,Loranthaceae,Loranthus,grandifrons
7215,Loranthus kaempferi,"Antiseptic,Ascites,Diuretic,Heartburn,Lung,Malaria,Scalp,Piles,Soporific,Urogenital","Sung Lo,Ma Tou Ling,Nu Lo",Loranthaceae,Loranthus,kaempferi
7216,Loranthus pentandrus,"Puerperium,Sore","Dedalu api jantam,Dedalu api puteh",Loranthaceae,Loranthus,pentandrus
7217,Loranthus sp,"Evil eye,Skin",nan,Loranthaceae,Loranthus,sp
7218,Loranthus sp.,Smallpox,Dedalu,Loranthaceae,Loranthus,sp.
7219,Loranthus yadoriki,"Anodyne,Antiphlogistic,Hypertension,Tonic","Sang Chi Sheng,nan",Loranthaceae,Loranthus,yadoriki
7220,Loropetalum chinense,"Cough,Hematemesis,Lung,Tuberculosis,Hemostat,Trauma,Alexiteric,Dysentery,Enteritis,Wound",nan,Hamamelidaceae,Loropetalum,chinense
7221,Lotononis eriantha,Charm,nan,Fabaceae,Lotononis,eriantha
7222,Lotononis lanceolata,"Anthrax,Enema,Glue,Fever,Diarrhea",nan,Fabaceae,Lotononis,lanceolata
7223,Lotononis ornata,Bronchitis,nan,Fabaceae,Lotononis,ornata
7224,Lotononis versicolor,Bronchitis,nan,Fabaceae,Lotononis,versicolor
7225,Lotus arabicus,Poison,nan,Fabaceae,Lotus,arabicus
7226,Lotus corniculatus,"Carminative,Cyanogenetic,Fever,Poison,Restorative,Thirst,Tonic,Nerves","Pai Mai Ken,nan,Birdsfoot Trefoil,Cuernecillo",Fabaceae,Lotus,corniculatus
7227,Lotus urbani?,Venereal,Trefles,Fabaceae,Lotus,urbani?
7228,Loxocarpus incana,Parturition,Tarum batu (Rock indicgo),Gesneriaceae,Loxocarpus,incana
7229,Loxogramme involuta,Fumitory,nan,Polypodiaceae,Loxogramme,involuta
7230,Lucuma glycyphloea,"Astringent,Hemostat,Tonic",nan,Sapotaceae,Lucuma,glycyphloea
7231,Lucuma salicifolia,"Fever,Intoxicant,Malaria,Soporific,Ulcer",nan,Sapotaceae,Lucuma,salicifolia
7232,Ludwigia adscendens,"Poultice,Sore,Skin",nan,Onagraceae,Ludwigia,adscendens
7233,Ludwigia perennis,Fever,nan,Onagraceae,Ludwigia,perennis
7234,Ludwigia prostrata,"Myalgia,Ache(Tooth)",nan,Onagraceae,Ludwigia,prostrata
7235,Luehea sp,"Leprosy,Tumor","nan,Acoita Cavalos",Tiliaceae,Luehea,sp
7236,Luffa acutangula,"Adenopathy,Amenorrhea,Anodyne,Asthma,Conjunctivitis,Convulsion,Diuretic,Emetic,Expectorant,Jaundice,Laxative,Leprosy,Meibomian Secretion,Parturition,Piles,Purgative,Scabies,Scrofula,Skin,Snuff,Sore,Sore(Veterinary),Spasm,Splenitis,Splenomegaly,Syphilis,Tetanus,Uremia,Demulcent,Dropsy,Madness,Tonic","nan,Kachur,Leef,Liane Torchon,Servilleta Del Pobre,Ketola,Serviette Des Pauvres,Oyong,Petola sanding,Muneco,Torchon,Kdulifka,Esponja",Cucurbitaceae,Luffa,acutangula
7237,Luffa aegyptiaca,"Analgesic,Antiseptic,Carminative,Cathartic,Dropsy,Dysentery,Emetic,Enterorrhagia,Hematochezia,Hemostat,Hernia,Menorrhagia,Metrorrhagia,Orchitis,Ozoena,Parasiticide,Pectoral,Piles,Purgative,Scarlet-Fever,Smallpox,Swelling,Tonic,Ache(Tooth),Tumor,Urogenital,Variola,Vermifuge,Boil,Caries,Circulation,Hemorrhage,Bladder,Cancer,Emmenagogue,Intestine,Jaundice,Lactogogue,Refrigerant,Skin,Stomach","nan,Ssu Kua,Leaf,Serviette Des Pauvres,Lifka,Musu,Torchon,Servilleta Del Pobre,T'Ien Lo,T'Ien Ssu Kua,Man Kua,Liane Torchon,Pu Kua",Cucurbitaceae,Luffa,aegyptiaca
7238,Luffa amara,"Adenopathy,Sore,Tetanus,Scrofula",nan,Cucurbitaceae,Luffa,amara
7239,Luffa cylindrica,"Carminative,Cathartic,Diuretic,Emetic,Lactagogue,Phlegm,Purgative,Respiratory,Amenorrhea,Cough,Cancer(Nose),Sponge,Vermifuge","nan,Hetima,Bestru,Pipengaille,Ketola",Cucurbitaceae,Luffa,cylindrica
7240,Luffa echinata,"Bilious,Bronchitis,Dropsy,Fever,Intestine,Lung,Nephritis,Purgative,Jaundice,Sterility,Colic",nan,Cucurbitaceae,Luffa,echinata
7241,Luffa operculata,"Bite(Snake),Purgative",nan,Cucurbitaceae,Luffa,operculata
7242,Luffa sp,"Antiseptic,Cathartic,Diuretic,Emetic,Tonic,Vermifuge,Depurative","Man Kua,Ran Turai,Pu Kua,Katuki,Su Kua,T'Ien Ssu Kua,T'Ien Lo",Cucurbitaceae,Luffa,sp
7243,Luisia tenuifolia,"Abscess,Boil,Emollient,Tumor",nan,Orchidaceae,Luisia,tenuifolia
7244,Luisia teres,"Antidote,Cancer,Gout,Malaria,Wound,Sore","Ch'Ai Tzu Ku,nan,Chin Ch'Ai Ku",Orchidaceae,Luisia,teres
7245,Luisia trichorrhiza,Myalgia,nan,Orchidaceae,Luisia,trichorrhiza
7246,Lumnitzera coccinea,Sprue,Sesak,Combretaceae,Lumnitzera,coccinea
7247,Lumnitzera littorea,Sprue,nan,Combretaceae,Lumnitzera,littorea
7248,Lumnitzera racemosa,"Itch,Herpes",nan,Combretaceae,Lumnitzera,racemosa
7249,Lumnitzera sexangula,"Conjunctivitis,Burn,Shingles","Tumu barau,Tumu mata buaya,Mata buaya",Combretaceae,Lumnitzera,sexangula
7250,Lunasia amara,"Gastritis,Hypertension","Rabelesia,Rabelesie",Rutaceae,Lunasia,amara
7251,Lupinus albicaulis,Whitlow,Lupine,Fabaceae,Lupinus,albicaulis
7252,Lupinus albus,"Alterative,Carminative,Depurative,Digestive,Diuretic,Emmenagogue,Poison,Vermifuge,Discutient,Pectoral,Deobstruent,Tumor","nan,Beyaz Acibakla,Lupino",Fabaceae,Lupinus,albus
7253,Lupinus angustifolius,"Tumor,Coffee","Thermos Hemeros,nan",Fabaceae,Lupinus,angustifolius
7254,Lupinus gentryanus,Pediculicide,nan,Fabaceae,Lupinus,gentryanus
7255,Lupinus hirsutus,Tumor,Thermos,Fabaceae,Lupinus,hirsutus
7256,Lupinus littoralis,"Sedative,Intoxicant",nan,Fabaceae,Lupinus,littoralis
7257,Lupinus luteus,"Poison,Cyanogenetic",nan,Fabaceae,Lupinus,luteus
7258,Lupinus pilosus,Whitlow,Lupine,Fabaceae,Lupinus,pilosus
7259,Lupinus polyphyllus?,Sedative,nan,Fabaceae,Lupinus,polyphyllus?
7260,Lupinus sp,Poison,Lupine,Fabaceae,Lupinus,sp
7261,Lupinus termis,"Tumor,Medicine","Termus,nan",Fabaceae,Lupinus,termis
7262,Luvunga sarmentosa,"Ostealgia,Rheumatism,Ache(Tooth)",nan,Rutaceae,Luvunga,sarmentosa
7263,Luvunga scandens,Parturition,Susoh ayam hutan (Woodlnd cock,Rutaceae,Luvunga,scandens
7264,Lychnis alba,Cancer,Wild Campion,Caryophyllaceae,Lychnis,alba
7265,Lychnis dioica,Cancer,Wild Campion,Caryophyllaceae,Lychnis,dioica
7266,Lychnis flos-cuculi,Wen,Bulot,Caryophyllaceae,Lychnis,flos-cuculi
7267,Lychnis grandiflora,"Anodyne,Hemostat,Parasiticide,Herpes zoster","Chien Ch'Un Lo,Chien Hung Sha",Caryophyllaceae,Lychnis,grandiflora
7268,Lychnis indica,Soap,nan,Caryophyllaceae,Lychnis,indica
7269,Lychnophora brunioides,Tonic,nan,Asteraceae,Lychnophora,brunioides
7270,Lycium acutifolium,Hail,nan,Solanaceae,Lycium,acutifolium
7271,Lycium barbarum,"Aphrodisiac,Diuretic,Hyperglycemia,Impotency,Poison,Spasm,Vertigo,Ache(Back),Fever,Debility,Laxative","A'Usaj,nan",Solanaceae,Lycium,barbarum
7272,Lycium chinense,"Aphrodisiac,Cachexia,Cancer,Complexion,Tuberculosis,Debility,Diabetes,Ejaculation,Eye,Kidney,Liver,Longevity,Nutrient,Ophthalmia,Ornament,Pneumonia,Refrigerant,Rheumatism,Semen,Tea,Thirst,Tonic,Ache(Tooth),Wound,Febrifuge,Vision,Gingirrhagia,Swelling","Kou Chi,Kou Chi Chien,Yang Ju,Kou Chi Chiu,nan,Hsien Jen Chang,T'Ien Ts'Ai,Kuko,Ti Ku P'I",Solanaceae,Lycium,chinense
7273,Lycium chinensis,"Antitussive,Cancer,Diabetes Mellitis,Fever,Hypertension,Tuberculosis",nan,Solanaceae,Lycium,chinensis
7274,Lycium europaeum,Spasm,Cambronera,Solanaceae,Lycium,europaeum
7275,Lycium europeum,Tumor(Gum),Mater Silvi,Solanaceae,Lycium,europeum
7276,Lycium halamifolium,"Diuretic,Homeopathy,Purgative",Matrimony Vine,Solanaceae,Lycium,halamifolium
7277,Lycium halimifolium,"Pertussis,Poison","Cambronera,Matrimony Vine",Solanaceae,Lycium,halimifolium
7278,Lycium halmifolium,Cyanogenetic,nan,Solanaceae,Lycium,halmifolium
7279,Lycium kraussii,"Ache(Head),Fumitory,Rheumatism",nan,Solanaceae,Lycium,kraussii
7280,Lycium ruthenicum,Blindness(Veterinary),nan,Solanaceae,Lycium,ruthenicum
7281,Lycium sp,"Cyanogenetic,Diuretic,Laxative,Poison,Spasm,Bactericide","Cambronera,Box Thorn,Spina Cristi,Boksdoorn,Bocksdorn,nan",Solanaceae,Lycium,sp
7282,Lycopersicon cerasiforme,Corn,nan,Solanaceae,Lycopersicon,cerasiforme
7283,Lycopersicon esculentum,"Antiseptic,Aperient,Cancer(Mouth),Corn,Depurative,Digestive,Flu,Palpitation,Pectoral,Poison,Repellant(Insect),Vitiligo,Wart,Cancer,Tumor(Liver),Cough,Tumor,Yellow Fever","nan,Pomodoro,Tomate,Tamata,Liu Yueh Shih,Tomatero,Tomato,Fan Shih,Pomme D'Amour",Solanaceae,Lycopersicon,esculentum
7284,Lycopersicon sp,Gonorrhea,nan,Solanaceae,Lycopersicon,sp
7285,Lycopodium alopecuroides,Sterility,nan,Lycopodiaceae,Lycopodium,alopecuroides
7286,Lycopodium carinatum,Shampoo,nan,Lycopodiaceae,Lycopodium,carinatum
7287,Lycopodium cernuum,"Anodyne,Beriberi,Ache(Bones),Carminative,Chest,Cough,Dermatosis,Leg,Numbness,Skin,Sore,Spasm,Tonic,Trauma,Abscess,Beri-Beri,Rheumatism,Asthma,Myalgia","nan,Paku serani (Portuguese fern),Rumput serani (Portuguese gras,Rumput kenarus,Sarang baganding,Daoen rairai,L.",Lycopodiaceae,Lycopodium,cernuum
7288,Lycopodium clavatum,"Ache(Head),Apertif,Cancer(Skin),Carminative,Catarrh,Chest,Diarrhea,Diuretic,Dyspepsia,Emmenagogue,Fever,Fumitory,Homeopathy,Laxative,Nerves,Pressor,Preventitive(Chafe),Rheumatism,Skin,Spasm,Uterotonic,Aphrodisiac,Urogenital","nan,Lycopode,Musco Clavato,Kurtpencesi,Licopodio",Lycopodiaceae,Lycopodium,clavatum
7289,Lycopodium clavatumvar.nipponicum,Pill-Coating,Hikage-No-Kazura,Lycopodiaceae,Lycopodium,clavatum
7290,Lycopodium complanatum,Antiseptic,nan,Lycopodiaceae,Lycopodium,complanatum
7291,Lycopodium japonicum,"Breath,Complexion,Restorative,Thirst","Yu Po,Ch'Ien Nien Po,Wan Nien Sung",Lycopodiaceae,Lycopodium,japonicum
7292,Lycopodium laxum,Alopecia,Koempaj loebang,Lycopodiaceae,Lycopodium,laxum
7293,Lycopodium phlegmaria,"Gastrosis,Pulmonosis,Shampoo,Emmenagogue,Dropsy","Roetoe-roetoe kajoe,nan,Koempaj lemboet",Lycopodiaceae,Lycopodium,phlegmaria
7294,Lycopodium selago,Abortifacient,Selago,Lycopodiaceae,Lycopodium,selago
7295,Lycopodium sp,"Cancer(Stomach),Fever,Hematuria,Lithontriptic,Sedative,Dysuria,Diuretic","Groundpine,Chu Yuen Sui",Lycopodiaceae,Lycopodium,sp
7296,Lycopsis arvensis,Sudorific,Licopside,Boraginaceae,Lycopsis,arvensis
7297,Lycopus arvensis,Cancer,"Buglos,Buglosse",Lamiaceae,Lycopus,arvensis
7298,Lycopus europaeus,"Cosmetic,Fever,Hyperthyreosis,Narcotic,Refrigerant,Sore,Astringent,Douche,Wound","Su Ferasyunu,Farasyon Maiy,nan,Menta De Lobo",Lamiaceae,Lycopus,europaeus
7299,Lycopus lucidus,"Abdomen,Abscess,Amenorrhea,Circulation,Diuretic,Dysmenorrhea,Edema,Extravasation,Liver,Metroxenia,Swelling,Tumor,Decoagulant,Metrorrhagia,Polyuria","nan,Siro-Ne,Tse Lan",Lamiaceae,Lycopus,lucidus
7300,Lycopus virginicus,"Astringent,Cough,Digestive,Lung,Medicine,Narcotic,Sedative,Tuberculosis,Apertif,Diarrhea,Hemorrhage,Diabetes","Bugleweed,Su Ferasyunu,nan",Lamiaceae,Lycopus,virginicus
7301,Lycoris albiflora,"Expectorant,Emetic",Sirobana-Manzyusyage,Liliaceae,Lycoris,albiflora
7302,Lycoris aurea,Burn,nan,Liliaceae,Lycoris,aurea
7303,Lycoris haywardii,"Emetic,Expectorant",Syoki-Zuisen,Liliaceae,Lycoris,haywardii
7304,Lycoris radiata,"Amebiasis,Antidote,Antitussive,Dysentery,Emetic,Expectorant,Fever,Nausea,Nerves,Poison,Scald,Swelling,Sore,Abscess,Burn,Edema","Higan-Bana,Shih Suan,nan,Lao Ya Suan,I Chih Chien",Liliaceae,Lycoris,radiata
7305,Lycoris sanguinea,"Emetic,Expectorant",Kitune-No-Kamisori,Liliaceae,Lycoris,sanguinea
7306,Lycoris squamigera,"Tumor,Emetic,Expectorant","Shan T'Zu Ku,Natu-Zuisen",Liliaceae,Lycoris,squamigera
7307,Lycoseris latifolia,"Cancer,Diuretic,Emmenagogue","Botonera,nan",Asteraceae,Lycoseris,latifolia
7308,Lygodesmia juncea,"Eye,Lactogogue,Masticatory","nan,Rush Skeletonweed",Asteraceae,Lygodesmia,juncea
7309,Lygodium circinatum,Bite(Spider),Reriboe,Schizaeaceae,Lygodium,circinatum
7310,Lygodium circinnatum,"Wound,Parturition","nan,Ribu-ribu dudok (Sitting Lygo.,Akar sidin",Schizaeaceae,Lygodium,circinnatum
7311,Lygodium flexuosum,"Carbuncle,Eczema,Fever,Rheumatism,Ringworm,Scabies,Sprain,Wound,Dermatosis,Expectorant","nan,Ribu-ribu gajah (Big Lygodium),Darai paya,Ribu-ribu besar (Big Lygodium)",Schizaeaceae,Lygodium,flexuosum
7312,Lygodium japonicum,"Alexiteric,Antiphlogistic,Cathartic,Cold,Dysuria,Expectorant,Fever,Gonorrhea,Hematuria,Nephritis,Stone,Urogenital,Edema,Diuretic,Urethritis,Blennorrhagia",nan,Schizaeaceae,Lygodium,japonicum
7313,Lygodium microphyllum,"Dysentery,Skin,Swelling",nan,Schizaeaceae,Lygodium,microphyllum
7314,Lygodium pinnatifidum,"Atrophy,Cachexia,Cough,Jaundice,Pleurisy,Laxative,Fever",nan,Schizaeaceae,Lygodium,pinnatifidum
